day_avg_dwell,day_of_week,lat,long,off,on,route,stop_name,total,trip_avg_dwell,unique_stop_number
146.7,WEEKDAY,39.962817,-83.00075,210,276,1,N HIGH ST & W BROAD ST,485,1.9,2900
2.7,WEEKDAY,39.979758,-83.032003,0,3,31,W 1ST AVE & NORTHWEST BL,3,0.1,2911
0.9,WEEKDAY,39.97991,-83.03448,2,0,13,W 1ST AVE & OXLEY RD,2,0.3,2912
4.3,WEEKDAY,39.979936,-83.034509,0,7,31,W 1ST AVE & OXLEY RD,7,0.1,2912
0.4,WEEKDAY,39.981031,-83.037605,1,0,13,W 1ST AVE & VIRGINIA AVE,1,0.1,2913
1.2,WEEKDAY,39.981043,-83.037663,0,3,31,W 1ST AVE & VIRGINIA AVE,4,0.0,2913
0.0,WEEKDAY,39.986573,-83.059871,0,0,13,ARLINGTON AVE & CARDIGAN,0,0.0,2925
3.9,WEEKDAY,39.989475,-83.059993,7,0,5,W 5TH AVE & ARLINGTON AV,8,0.1,2926
0.0,WEEKDAY,39.986892,-83.059956,0,0,13,ARLINGTON AVE & CARDIGAN,0,0.0,2930
0.4,WEEKDAY,39.985566,-83.058353,0,0,13,W 3RD AVE & CAMBRIDGE BL,0,0.1,2932
0.1,WEEKDAY,39.982604,-83.05803,0,0,13,CAMBRIDGE BLVD & W 1ST A,0,0.0,2933
0.4,WEEKDAY,39.974282,-83.024932,1,0,13,GOODALE BLVD & YARD ST,1,0.1,2907
0.0,WEEKDAY,39.974941,-83.02877,0,0,13,NORTHWEST BLVD & GOODALE,0,0.0,2908
4.7,WEEKDAY,39.975084,-83.028952,1,2,22,NORTHWEST BLVD & GOODALE,3,0.1,2908
3.7,WEEKDAY,39.975498,-83.029104,1,1,31,NORTHWEST BLVD & GOODALE,2,0.1,2908
0.3,WEEKDAY,39.976405,-83.029248,2,0,13,NORTHWEST BLVD & BURR AV,2,0.1,2909
0.4,WEEKDAY,39.982284,-83.055619,0,1,13,W 1ST AVE & WYANDOTTE RD,1,0.1,2934
1.2,WEEKDAY,39.982168,-83.053075,0,3,13,W 1ST AVE & WESTWOOD AVE,3,0.4,2935
1.3,WEEKDAY,39.982063,-83.050587,1,4,13,W 1ST AVE & ASHLAND AVE,4,0.4,2936
0.0,WEEKDAY,39.981969,-83.04808,0,0,13,W 1ST AVE & FAIRVIEW AVE,0,0.0,2937
0.5,WEEKDAY,39.981767,-83.043662,0,2,13,W 1ST AVE & GLENDALE AVE,2,0.2,2939
